Combination_Index,C,gamma,epsilon,R2
383,0.05623413251903491,0.0006158482110660267,0.2,-0.019969200806565723
384,0.05623413251903491,0.0006158482110660267,0.5,-0.01996863991749942
385,0.05623413251903491,0.0011288378916846883,0.001,-0.01934906799184044
386,0.05623413251903491,0.0011288378916846883,0.01,-0.01934906799184044
387,0.05623413251903491,0.0011288378916846883,0.05,-0.01934906799184044
388,0.05623413251903491,0.0011288378916846883,0.1,-0.01934906799184044
389,0.05623413251903491,0.0011288378916846883,0.2,-0.01934906799184044
390,0.05623413251903491,0.0011288378916846883,0.5,-0.01934906799184044
391,0.05623413251903491,0.00206913808111479,0.001,-0.01828059989207076
392,0.05623413251903491,0.00206913808111479,0.01,-0.01828059989207076
393,0.05623413251903491,0.00206913808111479,0.05,-0.01828059989207076
394,0.05623413251903491,0.00206913808111479,0.1,-0.01828059989207076
395,0.05623413251903491,0.00206913808111479,0.2,-0.01828059989207076
396,0.05623413251903491,0.00206913808111479,0.5,-0.01828059989207076
397,0.05623413251903491,0.00379269019073225,0.001,-0.016526431236256522
398,0.05623413251903491,0.00379269019073225,0.01,-0.016526431236256522
399,0.05623413251903491,0.00379269019073225,0.05,-0.016526431236256522
400,0.05623413251903491,0.00379269019073225,0.1,-0.016526431236256522
401,0.05623413251903491,0.00379269019073225,0.2,-0.016526431236256522
402,0.05623413251903491,0.00379269019073225,0.5,-0.016526431236256522
403,0.05623413251903491,0.0069519279617756054,0.001,-0.013887577755318903
404,0.05623413251903491,0.0069519279617756054,0.01,-0.013887577755318903
405,0.05623413251903491,0.0069519279617756054,0.05,-0.013887577755318903
406,0.05623413251903491,0.0069519279617756054,0.1,-0.013887577755318903
407,0.05623413251903491,0.0069519279617756054,0.2,-0.013887577755318903
408,0.05623413251903491,0.0069519279617756054,0.5,-0.013887577755319125
409,0.05623413251903491,0.012742749857031334,0.001,-0.011032595042242965
410,0.05623413251903491,0.012742749857031334,0.01,-0.011032595042242965
411,0.05623413251903491,0.012742749857031334,0.05,-0.011032595042242965
412,0.05623413251903491,0.012742749857031334,0.1,-0.011032595042242965
413,0.05623413251903491,0.012742749857031334,0.2,-0.011032595042242965
414,0.05623413251903491,0.012742749857031334,0.5,-0.011032595042242965
415,0.05623413251903491,0.023357214690901212,0.001,-0.008436600021627827
416,0.05623413251903491,0.023357214690901212,0.01,-0.008436600021627827
417,0.05623413251903491,0.023357214690901212,0.05,-0.008436600021627827
418,0.05623413251903491,0.023357214690901212,0.1,-0.008436600021627827
419,0.05623413251903491,0.023357214690901212,0.2,-0.008436600021627827
420,0.05623413251903491,0.023357214690901212,0.5,-0.0084310886619825
421,0.05623413251903491,0.04281332398719392,0.001,-0.007695217350782935
422,0.05623413251903491,0.04281332398719392,0.01,-0.007695217350782935
423,0.05623413251903491,0.04281332398719392,0.05,-0.007695217350782935
424,0.05623413251903491,0.04281332398719392,0.1,-0.007695217350782935
425,0.05623413251903491,0.04281332398719392,0.2,-0.007695217350782935
426,0.05623413251903491,0.04281332398719392,0.5,-0.007695217350782935
427,0.05623413251903491,0.07847599703514607,0.001,-0.010223386379899058
