Fold,GBR,RF,SVR
Fold 1,447.7248604601691,451.5690963700111,765.5846574004125
Fold 2,427.1007360324813,424.1132518992158,787.4236253721714
Fold 3,426.68528907164176,423.17025512479364,780.527744772444
Fold 4,397.04435041675515,402.53331004777317,770.5245647064871
Fold 5,412.03526913551883,422.153134676826,779.3530179538195
Mean,422.1181010233133,424.7078096237239,776.6827220410669
