Model,R2,MSE,RMSE,MAE
RFR,0.8212306600912301,163299.3146371384,404.1030990194685,253.7766204873272
BR,0.8090542686087193,174422.00706785516,417.6386082103224,260.03145735486044
ADA BR,0.699772095636892,274247.31244440173,523.6862729195809,433.4185805658289
GBR,0.8191253428439007,165222.44566037811,406.4756396887495,261.2475239850106
