Model,R2,MSE,RMSE,MAE
MLR,0.7180084563489013,257589.0576940823,507.53232182205136,391.79269568403134
RR,0.7194624277571968,256260.9074945132,506.2221918234257,391.46106810493694
LR,0.7200140544517325,255757.0164962067,505.7242494642774,389.93022341474415
SVR,0.3818913631011973,564619.8438075605,751.4119002302003,655.7118387273604
DTR,0.7705123254833024,209628.67561837993,457.85224212444336,294.5160469527937
