토지소재명,합계 면적(㎡),합계 지번수,전 면적(㎡),전 지번수,답 면적(㎡),답 지번수,과수원 면적(㎡),과수원 지번수,목장용지 면적(㎡),목장용지 지번수,임야 면적(㎡),임야 지번수,광천지 면적(㎡),광천지 지번수,염전 면적(㎡),염전 지번수,대 면적(㎡),대 지번수,공장용지 면적(㎡),공장용지 지번수,학교용지 면적(㎡),학교용지 지번수,주차장 면적(㎡),주차장 지번수,주유소용지 면적(㎡),주유소용지 지번수,창고용지 면적(㎡),창고용지 지번수,도로 면적(㎡),도로 지번수,철도용지 면적(㎡),철도용지 지번수,제방 면적(㎡),제방 지번수,하천 면적(㎡),하천 지번수,구거 면적(㎡),구거 지번수,유지 면적(㎡),유지 지번수,양어장 면적(㎡),양어장 지번수,수도용지 면적(㎡),수도용지 지번수,공원 면적(㎡),공원 지번수,체육용지 면적(㎡),체육용지 지번수,유원지 면적(㎡),유원지 지번수,종교용지 면적(㎡),종교용지 지번수,사적지 면적(㎡),사적지 지번수,묘지 면적(㎡),묘지 지번수,잡종지 면적(㎡),잡종지 지번수
청주 상당구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주 서원구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주 흥덕구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주 청원구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영동군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
증평군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴산군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
음성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
